Sportfacilities,2016,2017,2018,2019,2020
voetbalvelden gras (w.v. wetra),71 (1),70 (2),77 (2),73 (2),72 (2)
Football Fields (synthetic),68,71,71,75,76
Football training fields,7,9,9,9,9
Basketball Fields,12,13,13,13,13
Hockey Fields (synthetic),43 (38),43 (38),46 (41),45 (41),45 (41)
handbalvelden ,9,8,6,6,6
Rugby Fields (grass + synthetic),3 (1),3 (1),3 (1),3 (1),3 (1)
Baseball Fields,6,6,6,6,6
Soft Ball Fields,6,8,8,8,8
Cricket Fields,11,12,12,12,12
American Football Fields,2,2,1,1,1
Lacrosse Fields,1,1,1,1,1
frisbeevelden,2,2,2,2,2
Beach Center (Outdoor Fields),5 (20),4 (18),4 (18),4 (18),4 (18)
Pelota Fields,1,1,1,1,1
Athletic circuits,6,6,6,6,6
Tennis Fields,231,234,233,235,235
Golf Ranges,6,6,6,6,6
Mini-Golf Ranges,1,1,1,1,1
Cycling Circuits,2,2,2,2,2
landijsbanen,2,2,2,2,2
kunstijsbanen,1,1,1,1,1
klimmuren,1,1,1,1,1
zwembaden,6,6,6,6,6
roei-/kanobaan,1,1,1,1,1
sporthallen (veld 20x40m),24,24,24,25,25
       aantal speelvloeren 20x40m,30,30,32,29,29
zwembaden,8,8,8,8,8
tennisbanen (hallen),57 (10),41 (8),39 (7),39 (7),39 (7)
squashbanen (centra),90 (11),90 (11),67 (7),67 (7),59 (6)
bowlingcentra,3,3,3,3,3
schietsportaccommodatie,12,12,12,11,11
wielerbaan,1,1,1,1,1
ijshal,1,1,1,1,1
skelter-/kartingbaan,1,1,1,1,1
tafeltenniscentra,3,3,3,3,3
handboogbanen (centra),17 (2),17 (2),17 (2),17 (2),17 (2)
maneges,11,11,12,12,12
boksruimtes,7,7,7,7,7
gewichthefruimtes,5,5,5,5,5
schermzalen,3,3,3,3,3
skiaccommodatie,1,1,1,1,1
klimaccommodatie,5,5,6,6,6
sportzalen,8,8,9,12,12
kano-clubhuizen,5,5,5,5,5
plankzeil-clubhuizen,2,2,2,2,2
roei-clubhuizen,10,10,10,9,9
watersport-clubhuizen,21,21,21,21,21
roeihome,1,1,1,1,1
watersportcentrum,2,2,2,2,2
